V_668_T_42_sam_tools_cov: 668_k79_244165_flag=0_multi=59.8349_len=40916	1	40916	37136	40916	100	59.9011	34.3	39.2
V_669_T_0_sam_tools_cov: 666_k79_100489_flag=0_multi=140.5548_len=3444	1	3444	19953	3444	100	387.118	34.5	39.2
V_668_T_42_sam_tools_cov: 665_k141_209339_flag=1_multi=32.3384_len=44486	1	44486	45966	44451	99.9213	68.245	34.5	39.1
V_668_T_0_sam_tools_cov: 669_k79_287007_flag=0_multi=45.4726_len=41114	1	41114	171479	41114	100	271.815	34.2	38.9
V_666_S_0_sam_tools_cov: 665_k141_5956_flag=1_multi=46.0000_len=12948	1	12948	31111	12936	99.9073	156.377	34.4	38.7
V_668_T_42_sam_tools_cov: 668_k79_32388_flag=1_multi=32.4916_len=36598	1	36598	26251	36596	99.9945	46.801	34.3	38.7
V_668_T_0_sam_tools_cov: 665_k141_5956_flag=1_multi=46.0000_len=12948	1	12948	51842	12944	99.9691	259.497	34.4	38.6
V_663_S_42_sam_tools_cov: 666_k79_100489_flag=0_multi=140.5548_len=3444	1	3444	9614	3444	100	182.334	34.5	38.4
V_667_T_0_sam_tools_cov: 666_k79_137659_flag=0_multi=102.9700_len=136085_fragment_1	1	52346	151382	52346	100	186.46	34.6	38.1
V_668_T_0_sam_tools_cov: 666_k79_137659_flag=0_multi=102.9700_len=136085_fragment_1	1	52346	185005	52346	100	228.079	34.5	38.1
V_666_S_14_sam_tools_cov: 666_k79_100489_flag=0_multi=140.5548_len=3444	1	3444	7060	3444	100	133.315	34.5	38
V_667_T_14_sam_tools_cov: 666_k79_118799_flag=0_multi=140.8262_len=83860_fragment_1	1	39046	46807	39046	100	76.9734	34.4	38
V_666_S_0_sam_tools_cov: 666_k79_118799_flag=0_multi=140.8262_len=83860_fragment_1	1	39046	57256	39046	100	93.8087	34.5	37.8
V_667_T_0_sam_tools_cov: 665_k141_5956_flag=1_multi=46.0000_len=12948	1	12948	32882	12943	99.9614	161.8	34.4	37.8
V_665_S_0_sam_tools_cov: 666_k79_100489_flag=0_multi=140.5548_len=3444	1	3444	5133	3444	100	95.0351	34.5	37.5
V_669_T_14_sam_tools_cov: 666_k79_100489_flag=0_multi=140.5548_len=3444	1	3444	10288	3444	100	188.949	34.3	37.5
V_663_S_42_sam_tools_cov: 666_k79_118799_flag=0_multi=140.8262_len=83860_fragment_1	1	39046	68848	39046	100	111.324	34.5	37.3
V_665_S_14_sam_tools_cov: 666_k79_100489_flag=0_multi=140.5548_len=3444	1	3444	8490	3444	100	268.586	34.8	37.2
V_666_S_0_sam_tools_cov: 668_k79_114365_flag=0_multi=69.4918_len=51719_fragment_1	1	34708	44576	34708	100	80.6022	34.4	37.1
V_667_T_14_sam_tools_cov: 668_k79_114365_flag=0_multi=69.4918_len=51719_fragment_1	1	34708	35277	34708	100	63.652	34.4	37.1
V_665_S_0_sam_tools_cov: 666_k79_118799_flag=0_multi=140.8262_len=83860_fragment_1	1	39046	48849	39046	100	78.6179	34.5	37
V_668_T_0_sam_tools_cov: 665_k141_219061_flag=3_multi=40.0039_len=10323	1	10323	20886	10322	99.9903	125.424	34.3	37
V_665_S_0_sam_tools_cov: 666_k79_137659_flag=0_multi=102.9700_len=136085_fragment_1	1	52346	74616	52346	100	89.3677	34.6	36.9
V_666_S_0_sam_tools_cov: 666_k79_137659_flag=0_multi=102.9700_len=136085_fragment_1	1	52346	71025	52346	100	85.0412	34.5	36.9
V_667_T_42_sam_tools_cov: 667_k79_25742_flag=0_multi=79.9467_len=29725	1	29725	53614	29725	100	113.146	34.4	36.9
V_669_T_0_sam_tools_cov: 665_k141_21708_flag=1_multi=112.0370_len=91551_fragment_1	1	66140	167508	66140	100	160.25	34.5	36.8
V_663_S_42_sam_tools_cov: 668_k79_114365_flag=0_multi=69.4918_len=51719_fragment_1	1	34708	51840	34708	100	92.4016	34.4	36.6
V_663_S_0_sam_tools_cov: 666_k79_100489_flag=0_multi=140.5548_len=3444	1	3444	10797	3444	100	192.121	34.1	36.5
V_665_S_0_sam_tools_cov: 668_k79_114365_flag=0_multi=69.4918_len=51719_fragment_1	1	34708	40354	34708	100	71.6302	34.4	36.4
V_668_T_0_sam_tools_cov: 666_k79_118799_flag=0_multi=140.8262_len=83860_fragment_1	1	39046	65632	39046	100	103.135	34.4	36.2
V_667_T_0_sam_tools_cov: 666_k79_118799_flag=0_multi=140.8262_len=83860_fragment_1	1	39046	58583	39046	100	91.8486	34.4	36.1
V_668_T_14_sam_tools_cov: 666_k79_137659_flag=0_multi=102.9700_len=136085_fragment_1	1	52346	65852	52346	100	77.4351	34.6	36.1
V_666_S_0_sam_tools_cov: 666_k79_100489_flag=0_multi=140.5548_len=3444	1	3444	3275	3444	100	58.4416	34.5	36
